id,barcode,recipient_name,address,city_district,package_type,size,dimensions_cm,weight_kg,fragile,priority,payment_method,cod_amount_eur,insurance_value_eur,special_instructions,order_date,status
26,KE00002698,Róbert Hudák,"Herlianska 61/15, Košice - Šaca",Šaca,Nábytok,XS,8x8x4,0.49,Áno,Overnight,Platba vopred,,303.67,Horná strana nahor,2026-05-12,Čaká na doručenie
27,KE00002774,Richard Szűcs,"Orlia 28/15, Košice - Staré Mesto",Staré Mesto,Dokument,XL,78x59x49,18.05,Nie,Štandard,Firemná faktura,,,,2026-05-11,Čaká na doručenie
28,KE00002840,Veronika Papp,"Rybná 115/48, Košice - Lorinčík",Lorinčík,Oblečenie,M,33x27x22,4.28,Nie,Expres,Firemná faktura,,,Nevystavovať vlhku,2026-05-11,Čaká na doručenie
29,KE00002984,Vladimír Hudák,"Lesná 82/6, Košice - Kavečany",Kavečany,Elektronika,S,19x14x9,0.48,Áno,Štandard,Firemná faktura,,846.09,Nezalomovať,2026-05-12,Čaká na doručenie
30,KE00003059,Ján Balogh,"Biela 148, Košice - Staré Mesto",Staré Mesto,Potraviny,M,33x27x22,4.34,Nie,Štandard,Platba vopred,,976.43,Môže zanechať u suseda,2026-05-11,Čaká na doručenie
31,KE00003151,Natália Fehér,"Továrenská 43/9, Košice - Šaca",Šaca,Balík,XS,11x11x5,0.34,Nie,Štandard,Platba vopred,,431.2,Volať vopred,2026-05-18,Čaká na doručenie
32,KE00003229,Pavel Nagy,"Továrenská 72/27, Košice - Šaca",Šaca,Knihy,L,40x32x24,8.55,Áno,Štandard,Platba vopred,,50.56,Môže zanechať u suseda,2026-05-18,Čaká na doručenie
33,KE00003349,Juraj Mészáros,"Šoltésovej 122/37, Košice - Sever",Sever,Nábytok,XXL,108x72x63,24.76,Nie,Expres,Dobierka,410.55,,Nevystavovať vlhku,2026-05-14,Čaká na doručenie
34,KE00003457,Filip Fábián,"Remeselnícka 51, Košice - Poľov",Poľov,Nábytok,S,16x12x8,1.59,Nie,Overnight,Platba vopred,,,,2026-05-13,Čaká na doručenie
35,KE00003585,Andrea Sipos,"Galvaniho 88, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Liek,XS,9x9x4,0.24,Nie,Expres,Firemná faktura,,,Horná strana nahor,2026-05-11,Čaká na doručenie
36,KE00003653,Radoslav Papp,"Lesná 63/6, Košice - Kavečany",Kavečany,Potraviny,S,22x16x11,1.23,Nie,Štandard,Firemná faktura,,,Krehké - opatrne,2026-05-15,Čaká na doručenie
37,KE00003761,Róbert Nagy,"Horná 71/34, Košice - Kavečany",Kavečany,Elektronika,S,21x16x10,1.08,Áno,Expres,Firemná faktura,,595.53,,2026-05-11,Čaká na doručenie
38,KE00003878,Alžbeta Bíró,"Považská 149, Košice - Sever",Sever,Knihy,M,29x24x19,3.86,Nie,Štandard,Platba vopred,,247.91,,2026-05-17,Čaká na doručenie
39,KE00003945,Matúš Szőke,"Bodrocká 56/18, Košice - Západ",Západ,Elektronika,XL,83x62x51,29.47,Áno,Štandard,Firemná faktura,,,,2026-05-18,Čaká na doručenie
40,KE00004061,Vladimír Fábián,"Partizánska 142, Košice - Sídlisko KVP",Sídlisko KVP,Oblečenie,L,42x33x25,1.17,Nie,Štandard,Dobierka,30.43,,Nevystavovať vlhku,2026-05-11,Čaká na doručenie
41,KE00004148,Miroslav Hudák,"Perešská 148/4, Košice - Pereš",Pereš,Elektronika,XL,94x70x58,5.3,Áno,Štandard,Platba vopred,,,Horná strana nahor,2026-05-12,Čaká na doručenie
42,KE00004247,Adam Baláž,"Zálesná 146/40, Košice - Lorinčík",Lorinčík,Dokument,S,21x15x10,0.68,Nie,Štandard,Dobierka,6.32,,,2026-05-11,Čaká na doručenie
43,KE00004319,Anna Szabó,"Gemerská 74/45, Košice - Sídlisko KVP",Sídlisko KVP,Nábytok,XXL,107x71x62,20.58,Nie,Expres,Platba vopred,,,Volať vopred,2026-05-16,Čaká na doručenie
44,KE00004487,Tibor Papp,"Hemerkova 79/37, Košice - Sídlisko KVP",Sídlisko KVP,Potraviny,XS,9x9x4,0.22,Nie,Ekonomický,Platba vopred,,,Skladovať v chlade,2026-05-18,Čaká na doručenie
45,KE00004591,Ondrej Jakab,"Kavečianska 24, Košice - Kavečany",Kavečany,Oblečenie,XL,94x70x59,29.99,Nie,Štandard,Dobierka,261.89,1174.81,Volať vopred,2026-05-11,Čaká na doručenie
46,KE00004661,Jana Molnár,"Perešská 121, Košice - Pereš",Pereš,Potraviny,XXL,101x67x58,16.43,Nie,Expres,Platba vopred,,653.31,Nevystavovať vlhku,2026-05-11,Čaká na doručenie
47,KE00004713,Michal Blaho,"Opátska 139, Košice - Vyšné Opátske",Vyšné Opátske,Liek,XL,75x56x47,23.42,Nie,Expres,Firemná faktura,,,,2026-05-11,Čaká na doručenie
48,KE00004863,Andrea Nagy,"Šoltésovej 80/36, Košice - Sever",Sever,Liek,S,23x17x11,1.84,Nie,Ekonomický,Dobierka,466.66,,,2026-05-14,Čaká na doručenie
49,KE00004974,Miroslav Farkas,"Okružná 63, Košice - Pereš",Pereš,Krehký tovar,S,23x17x11,1.11,Áno,Overnight,Dobierka,396.05,,Krehké - opatrne,2026-05-12,Čaká na doručenie
50,KE00005083,Barbora Katona,"Kavečianska 73/38, Košice - Kavečany",Kavečany,Liek,L,57x45x34,7.25,Nie,Štandard,Firemná faktura,,1398.02,,2026-05-13,Čaká na doručenie
51,KE00005122,Adam Olah,"Hájna 106, Košice - Poľov",Poľov,Krehký tovar,XXL,139x93x81,25.25,Áno,Štandard,Dobierka,253.63,1691.63,,2026-05-13,Čaká na doručenie
52,KE00005272,Boris Hudák,"Svätá 4/27, Košice - Vyšné Opátske",Vyšné Opátske,Knihy,XS,9x9x4,0.49,Nie,Expres,Dobierka,167.64,,Krehké - opatrne,2026-05-12,Čaká na doručenie
53,KE00005347,Ondrej Tkáč,"Krásnohorská 18, Košice - Krásna",Krásna,Dokument,S,21x16x10,0.98,Nie,Expres,Dobierka,87.35,1594.33,Nezalomovať,2026-05-14,Čaká na doručenie
54,KE00005442,Ivana Pintér,"Lipová 111, Košice - Barca",Barca,Krehký tovar,XL,85x64x53,7.86,Áno,Štandard,Platba vopred,,927.69,,2026-05-11,Čaká na doručenie
55,KE00005571,Tibor Hegedűs,"Záhradná 3/30, Košice - Myslava",Myslava,Knihy,XL,69x51x43,14.93,Nie,Ekonomický,Firemná faktura,,1998.75,,2026-05-11,Čaká na doručenie
56,KE00005646,Tibor Szűcs,"Jegorova 98/37, Košice - Dargovských hrdinov",Dargovských hrdinov,Potraviny,M,24x20x16,4.24,Nie,Štandard,Platba vopred,,,,2026-05-11,Čaká na doručenie
57,KE00005784,Pavel Hegedűs,"Bernoláková 57/40, Košice - Sever",Sever,Krehký tovar,XXL,132x88x77,37.23,Áno,Expres,Platba vopred,,,,2026-05-14,Čaká na doručenie
58,KE00005824,Adam Pintér,"Ovocná 24/21, Košice - Barca",Barca,Knihy,S,17x13x8,1.62,Nie,Štandard,Firemná faktura,,1742.09,,2026-05-11,Čaká na doručenie
59,KE00005996,Ondrej Vincze,"Myslavská 37/15, Košice - Myslava",Myslava,Náhradný diel,XXL,143x95x83,48.69,Nie,Štandard,Dobierka,270.6,,Krehké - opatrne,2026-05-11,Čaká na doručenie
60,KE00006027,Marek Hegedűs,"Horná 98/24, Košice - Kavečany",Kavečany,Náhradný diel,S,19x14x9,1.32,Nie,Štandard,Firemná faktura,,,,2026-05-14,Čaká na doručenie
61,KE00006162,Marek Polák,"Partizánska 78/8, Košice - Sídlisko KVP",Sídlisko KVP,Náhradný diel,XL,68x51x42,15.25,Nie,Štandard,Dobierka,210.37,,,2026-05-17,Čaká na doručenie
62,KE00006221,Lucia Polák,"Kavečianska 95, Košice - Kavečany",Kavečany,Náhradný diel,M,25x20x16,3.59,Nie,Ekonomický,Dobierka,141.56,,,2026-05-17,Čaká na doručenie
63,KE00006310,Vladimír Jakab,"Južná trieda 13/16, Košice - Juh",Juh,Elektronika,S,16x12x8,1.58,Áno,Štandard,Platba vopred,,1802.06,,2026-05-13,Čaká na doručenie
64,KE00006424,Rastislav Katona,"Čermeľská 34/12, Košice - Kavečany",Kavečany,Elektronika,XS,8x8x4,0.24,Áno,Štandard,Dobierka,136.36,,,2026-05-16,Čaká na doručenie
65,KE00006517,Barbora Baláž,"Astrová 115/33, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Balík,L,50x40x30,14.24,Nie,Expres,Firemná faktura,,,,2026-05-11,Čaká na doručenie
66,KE00006677,Jakub Papp,"Okružná 110/32, Košice - Pereš",Pereš,Krehký tovar,XS,11x11x5,0.23,Áno,Štandard,Dobierka,318.37,,Skladovať v chlade,2026-05-13,Čaká na doručenie
67,KE00006763,Filip Lukáč,"Poľná 130/7, Košice - Košická Nová Ves",Košická Nová Ves,Elektronika,XXL,127x84x74,40.76,Áno,Štandard,Firemná faktura,,,,2026-05-13,Čaká na doručenie
68,KE00006881,Pavel Kiss,"Bulharská 110, Košice - Dargovských hrdinov",Dargovských hrdinov,Dokument,S,21x16x10,1.05,Áno,Overnight,Dobierka,370.7,1913.68,,2026-05-16,Čaká na doručenie
69,KE00006923,Dušan Csonka,"Herlianska 106, Košice - Šaca",Šaca,Oblečenie,L,57x45x34,11.09,Nie,Expres,Platba vopred,,,,2026-05-16,Čaká na doručenie
70,KE00007049,Radoslav Jakab,"Borová 95, Košice - Barca",Barca,Nábytok,S,22x16x11,1.72,Nie,Expres,Dobierka,464.9,1408.37,Nezalomovať,2026-05-14,Čaká na doručenie
71,KE00007182,Miroslav Jakab,"Priemyselná 2, Košice - Šaca",Šaca,Balík,XXL,115x76x67,15.67,Nie,Štandard,Firemná faktura,,1445.98,Doručiť osobne,2026-05-13,Čaká na doručenie
72,KE00007246,Natália Tóth,"Ťahanovská 40, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Potraviny,XXL,99x66x58,27.72,Nie,Štandard,Dobierka,378.7,,Krehké - opatrne,2026-05-17,Čaká na doručenie
73,KE00007332,Monika Király,"Priečna 79, Košice - Pereš",Pereš,Elektronika,XS,8x8x4,0.22,Áno,Expres,Firemná faktura,,1496.56,Nevystavovať vlhku,2026-05-13,Čaká na doručenie
74,KE00007491,Alžbeta Katona,"Šírková 137/33, Košice - Nad jazerom",Nad jazerom,Balík,M,24x20x16,4.38,Nie,Štandard,Dobierka,159.97,,,2026-05-12,Čaká na doručenie
75,KE00007553,Mária Kováčik,"Zálesná 30, Košice - Lorinčík",Lorinčík,Knihy,XL,78x59x49,21.62,Nie,Štandard,Dobierka,296.49,,Skladovať v chlade,2026-05-17,Čaká na doručenie
76,KE00007687,Igor Lukáč,"Bernoláková 44, Košice - Sever",Sever,Knihy,XL,80x60x50,27.46,Nie,Štandard,Platba vopred,,402.57,Nevystavovať vlhku,2026-05-15,Čaká na doručenie
77,KE00007748,Martina Mészáros,"Hronská 46/41, Košice - Nad jazerom",Nad jazerom,Nábytok,XL,88x66x55,15.12,Nie,Expres,Firemná faktura,,889.99,Horná strana nahor,2026-05-16,Čaká na doručenie
78,KE00007815,Tomáš Krajčí,"Horná 15, Košice - Kavečany",Kavečany,Oblečenie,L,49x39x29,1.8,Nie,Štandard,Firemná faktura,,,,2026-05-11,Čaká na doručenie
79,KE00007966,Veronika Lukács,"Slnečná 49, Košice - Myslava",Myslava,Knihy,S,23x17x11,1.01,Áno,Ekonomický,Platba vopred,,,,2026-05-15,Čaká na doručenie
80,KE00008087,Tibor Farkas,"Pustovnícka 41, Košice - Vyšné Opátske",Vyšné Opátske,Balík,L,55x44x33,10.5,Nie,Expres,Dobierka,51.78,1704.62,Volať vopred,2026-05-12,Čaká na doručenie
81,KE00008197,Eva Krajčí,"Rovníková 21/10, Košice - Nad jazerom",Nad jazerom,Nábytok,XXL,129x86x75,25.68,Áno,Expres,Firemná faktura,,,,2026-05-16,Čaká na doručenie
82,KE00008277,Katarína Krajčí,"Opátska 109/2, Košice - Vyšné Opátske",Vyšné Opátske,Liek,S,23x17x11,0.82,Nie,Štandard,Dobierka,151.42,,,2026-05-17,Čaká na doručenie
83,KE00008367,Dávid Novák,"Pasteurova 34/10, Košice - Sídlisko KVP",Sídlisko KVP,Krehký tovar,XXL,133x88x77,42.36,Áno,Expres,Dobierka,185.33,,Horná strana nahor,2026-05-15,Čaká na doručenie
84,KE00008442,Veronika Blaho,"Poludníková 62, Košice - Sever",Sever,Liek,M,32x26x21,3.07,Nie,Štandard,Firemná faktura,,1213.28,,2026-05-16,Čaká na doručenie
85,KE00008554,Jakub Bíró,"Šrobárova 96/7, Košice - Sídlisko KVP",Sídlisko KVP,Oblečenie,XS,9x9x4,0.41,Nie,Štandard,Platba vopred,,,,2026-05-15,Čaká na doručenie
86,KE00008670,Katarína Polák,"Štefánikova 14, Košice - Staré Mesto",Staré Mesto,Balík,L,59x47x35,6.25,Áno,Štandard,Firemná faktura,,1835.62,Doručiť osobne,2026-05-16,Čaká na doručenie
87,KE00008789,Peter Oravec,"Dĺžková 115/6, Košice - Nad jazerom",Nad jazerom,Nábytok,S,22x17x11,1.19,Nie,Štandard,Dobierka,154.07,,Môže zanechať u suseda,2026-05-18,Čaká na doručenie
88,KE00008820,Helena Fehér,"Myslavská 29/32, Košice - Myslava",Myslava,Krehký tovar,XS,10x10x5,0.33,Áno,Štandard,Dobierka,179.64,,Doručiť osobne,2026-05-12,Čaká na doručenie
89,KE00008923,Lenka Lukács,"Mníšska 18/35, Košice - Vyšné Opátske",Vyšné Opátske,Balík,XL,64x48x40,26.58,Nie,Expres,Dobierka,13.04,1317.64,Krehké - opatrne,2026-05-17,Čaká na doručenie
90,KE00009035,Jana Sándor,"Sácka 12, Košice - Šaca",Šaca,Liek,S,22x16x11,1.43,Nie,Expres,Dobierka,389.21,97.17,Nezalomovať,2026-05-11,Čaká na doručenie
91,KE00009166,Veronika Oravec,"Pasteurova 80/35, Košice - Sídlisko KVP",Sídlisko KVP,Knihy,XS,11x11x5,0.18,Áno,Overnight,Firemná faktura,,1780.08,,2026-05-17,Čaká na doručenie
92,KE00009249,Martina Kiss,"Poľná 48, Košice - Poľov",Poľov,Potraviny,XL,72x54x45,5.23,Nie,Štandard,Firemná faktura,,1325.23,Nevystavovať vlhku,2026-05-13,Čaká na doručenie
93,KE00009356,Lucia Balogh,"Slnečná 110, Košice - Myslava",Myslava,Knihy,L,40x32x24,13.18,Nie,Expres,Platba vopred,,,,2026-05-17,Čaká na doručenie
94,KE00009483,Helena Hegedűs,"Kláštorná 8, Košice - Vyšné Opátske",Vyšné Opátske,Knihy,L,40x32x24,1.94,Nie,Štandard,Dobierka,80.95,1528.54,Krehké - opatrne,2026-05-11,Čaká na doručenie
95,KE00009588,Boris Fedor,"Magnetová 94, Košice - Nad jazerom",Nad jazerom,Krehký tovar,S,23x17x11,0.25,Áno,Štandard,Platba vopred,,898.08,,2026-05-14,Čaká na doručenie
96,KE00009648,Tomáš Papp,"Poľná 52, Košice - Košická Nová Ves",Košická Nová Ves,Dokument,S,23x17x11,1.0,Nie,Overnight,Firemná faktura,,,,2026-05-17,Čaká na doručenie
97,KE00009771,Róbert Šimko,"Jenisejská 93/8, Košice - Západ",Západ,Náhradný diel,S,22x16x11,0.25,Nie,Štandard,Platba vopred,,1999.19,Nevystavovať vlhku,2026-05-17,Čaká na doručenie
98,KE00009817,Vladimír Molnár,"Svätá 105/5, Košice - Vyšné Opátske",Vyšné Opátske,Náhradný diel,XXL,99x66x58,28.63,Nie,Štandard,Platba vopred,,,Skladovať v chlade,2026-05-16,Čaká na doručenie
99,KE00009988,Dávid Molnár,"Varšavská 40, Košice - Dargovských hrdinov",Dargovských hrdinov,Náhradný diel,XXL,106x71x62,47.9,Nie,Overnight,Dobierka,319.35,,Doručiť osobne,2026-05-14,Čaká na doručenie
100,KE00010083,Barbora Hudák,"Krásnohorská 129/38, Košice - Krásna",Krásna,Nábytok,S,21x15x10,1.5,Nie,Štandard,Dobierka,432.57,,Nezalomovať,2026-05-17,Čaká na doručenie
101,KE00010130,Igor Horváth,"Čermeľská 147, Košice - Kavečany",Kavečany,Oblečenie,L,57x46x34,8.64,Nie,Štandard,Firemná faktura,,,Nevystavovať vlhku,2026-05-11,Čaká na doručenie
102,KE00010244,Jana Király,"Tichá 124, Košice - Myslava",Myslava,Knihy,S,18x13x9,1.49,Nie,Ekonomický,Platba vopred,,,Môže zanechať u suseda,2026-05-13,Čaká na doručenie
103,KE00010369,Tibor Farkas,"Viničná 37, Košice - Myslava",Myslava,Krehký tovar,XL,77x58x48,28.99,Áno,Overnight,Firemná faktura,,1991.98,,2026-05-15,Čaká na doručenie
104,KE00010427,Monika Lukács,"Stará 128, Košice - Pereš",Pereš,Knihy,L,59x47x35,4.01,Nie,Štandard,Firemná faktura,,223.92,,2026-05-14,Čaká na doručenie
105,KE00010560,Monika Tóth,"Lesná 104, Košice - Kavečany",Kavečany,Oblečenie,XL,81x61x51,12.79,Nie,Štandard,Firemná faktura,,,Doručiť osobne,2026-05-17,Čaká na doručenie
106,KE00010627,Miroslav Blaho,"Lipová 143/49, Košice - Barca",Barca,Balík,XL,80x60x50,16.5,Nie,Štandard,Firemná faktura,,,,2026-05-16,Čaká na doručenie
107,KE00010763,Natália Bogdán,"Robotnícka 82, Košice - Šaca",Šaca,Náhradný diel,M,31x25x20,2.78,Nie,Štandard,Dobierka,408.8,,Krehké - opatrne,2026-05-13,Čaká na doručenie
108,KE00010814,Boris Rácz,"Novoveská 122, Košice - Košická Nová Ves",Košická Nová Ves,Nábytok,XL,82x61x51,22.48,Nie,Štandard,Firemná faktura,,,,2026-05-16,Čaká na doručenie
109,KE00010994,Andrea Hudák,"Jegorova 5, Košice - Dargovských hrdinov",Dargovských hrdinov,Nábytok,L,53x43x32,6.75,Nie,Ekonomický,Platba vopred,,656.85,,2026-05-16,Čaká na doručenie
110,KE00011036,Richard Mészáros,"Priečna 97, Košice - Pereš",Pereš,Oblečenie,XL,74x56x46,12.57,Nie,Expres,Dobierka,281.25,,Volať vopred,2026-05-15,Čaká na doručenie
111,KE00011154,Matúš Fedor,"Stará 123, Košice - Pereš",Pereš,Potraviny,M,25x21x16,3.54,Nie,Overnight,Platba vopred,,1431.14,Nezalomovať,2026-05-14,Čaká na doručenie
112,KE00011252,Tereza Fedor,"Záhradná 123, Košice - Myslava",Myslava,Nábytok,XL,86x64x53,6.71,Nie,Expres,Dobierka,453.07,209.39,,2026-05-15,Čaká na doručenie
113,KE00011393,Alžbeta Kováčik,"Perešská 36, Košice - Pereš",Pereš,Liek,L,53x42x31,13.33,Nie,Štandard,Firemná faktura,,1539.76,,2026-05-14,Čaká na doručenie
114,KE00011452,Andrea Novák,"Poludníková 10/12, Košice - Sever",Sever,Liek,XS,11x11x5,0.26,Nie,Štandard,Firemná faktura,,1209.54,Nezalomovať,2026-05-18,Čaká na doručenie
115,KE00011596,Lenka Mészáros,"Poľná 140/9, Košice - Košická Nová Ves",Košická Nová Ves,Krehký tovar,M,26x21x17,1.01,Áno,Expres,Platba vopred,,597.1,,2026-05-18,Čaká na doručenie
116,KE00011652,Mária Nagy,"Moldavská cesta 104/33, Košice - Juh",Juh,Krehký tovar,L,53x42x32,3.59,Áno,Štandard,Platba vopred,,1509.98,Skladovať v chlade,2026-05-14,Čaká na doručenie
117,KE00011747,Boris Kiss,"Viničná 147, Košice - Košická Nová Ves",Košická Nová Ves,Liek,XXL,107x71x62,36.71,Nie,Štandard,Firemná faktura,,,,2026-05-17,Čaká na doručenie
118,KE00011820,Vladimír Olah,"Borová 57, Košice - Barca",Barca,Knihy,S,19x14x9,1.98,Nie,Štandard,Platba vopred,,,,2026-05-15,Čaká na doručenie
119,KE00011984,Kristína Lukáč,"Svätá 136/5, Košice - Vyšné Opátske",Vyšné Opátske,Elektronika,XS,11x11x5,0.46,Áno,Štandard,Dobierka,167.42,,Nevystavovať vlhku,2026-05-11,Čaká na doručenie
120,KE00012037,Michal Mészáros,"Perešská 131, Košice - Pereš",Pereš,Balík,S,20x15x10,1.02,Nie,Štandard,Platba vopred,,,Volať vopred,2026-05-12,Čaká na doručenie
121,KE00012158,Tomáš Fehér,"Ťahanovská 109, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Liek,XS,11x11x5,0.13,Nie,Štandard,Firemná faktura,,,Skladovať v chlade,2026-05-13,Čaká na doručenie
122,KE00012279,Eva Lukáč,"Poľovská 139, Košice - Poľov",Poľov,Krehký tovar,S,23x17x11,0.91,Áno,Expres,Dobierka,6.72,,Volať vopred,2026-05-18,Čaká na doručenie
123,KE00012367,Anna Balogh,"Rybná 98/16, Košice - Lorinčík",Lorinčík,Dokument,S,18x13x9,1.89,Nie,Štandard,Platba vopred,,1191.95,Môže zanechať u suseda,2026-05-15,Čaká na doručenie
124,KE00012496,Stanislav Fehér,"Gemerská 12, Košice - Sídlisko KVP",Sídlisko KVP,Krehký tovar,S,22x16x11,1.6,Áno,Štandard,Dobierka,408.81,,,2026-05-13,Čaká na doručenie
125,KE00012592,Ivana Gáborík,"Sácka 78/43, Košice - Šaca",Šaca,Nábytok,L,46x36x27,1.85,Nie,Overnight,Firemná faktura,,,Nezalomovať,2026-05-11,Čaká na doručenie
126,KE00012663,Miroslav Krajčí,"Hradná 82/27, Košice - Poľov",Poľov,Elektronika,L,43x34x26,8.53,Áno,Overnight,Platba vopred,,,Nezalomovať,2026-05-11,Čaká na doručenie
127,KE00012785,Pavel Takáč,"Brestová 35, Košice - Krásna",Krásna,Knihy,M,31x26x21,4.65,Nie,Štandard,Dobierka,137.89,1611.25,,2026-05-18,Čaká na doručenie
128,KE00012846,Jana Krajčí,"Moldavská 123, Košice - Krásna",Krásna,Dokument,XS,8x8x4,0.18,Nie,Expres,Platba vopred,,,Môže zanechať u suseda,2026-05-12,Čaká na doručenie
129,KE00012928,Pavel Kiss,"Remeselnícka 137/20, Košice - Poľov",Poľov,Liek,XL,92x69x57,15.58,Nie,Expres,Dobierka,159.9,,,2026-05-18,Čaká na doručenie
